seqnames	start	end	width	strand	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	geneId	transcriptId	distanceToTSS	ENSEMBL	SYMBOL	GENENAME
chr11	26275375	26275549	175	*	Intron (uc010rdr.2/63982, intron 1 of 27)	11	26210829	26684836	474008	1	63982	uc010rdr.2	64546	ENSG00000134343	ANO3	anoctamin 3
chr11	31849250	31849474	225	*	Intron (uc021qfo.1/440034, intron 1 of 2)	11	31806340	31839509	33170	2	5080	uc021qfm.1	-9741	ENSG00000007372	PAX6	paired box 6
chr11	34128050	34128149	100	*	Promoter	11	34127111	34168458	41348	1	55226	uc010ren.2	939	ENSG00000135372	NAT10	N-acetyltransferase 10
chr11	36722775	36722974	200	*	Distal Intergenic	11	36613493	36619829	6337	2	5897	uc021qgd.1	-102946	ENSG00000175097	RAG2	recombination activating 2
chr11	36725225	36725549	325	*	Distal Intergenic	11	36613493	36619829	6337	2	5897	uc021qgd.1	-105396	ENSG00000175097	RAG2	recombination activating 2
chr11	62117675	62117824	150	*	Intron (uc001nte.4/80150, intron 2 of 6)	11	62124459	62150719	26261	1	80150	uc001nth.1	-6635	ENSG00000162174	ASRGL1	asparaginase and isoaspartyl peptidase 1
chr11	63194825	63194974	150	*	Distal Intergenic	11	63137261	63177712	40452	1	114571	uc001nwx.3	57564	ENSG00000149742	SLC22A9	solute carrier family 22 member 9
chr11	63710200	63710274	75	*	Intron (uc009yoz.3/79829, intron 1 of 7)	11	63706809	63724446	17638	1	79829	uc010rmx.2	3391	ENSG00000110583	NAA40	N(alpha)-acetyltransferase 40, NatD catalytic subunit
chr11	63728625	63728874	250	*	Distal Intergenic	11	63720165	63724446	4282	1	79829	uc010rmy.2	8460	ENSG00000110583	NAA40	N(alpha)-acetyltransferase 40, NatD catalytic subunit
chr11	65408725	65408999	275	*	Exon (uc001ofb.2/6494, exon 2 of 16)	11	65407592	65418391	10800	1	6494	uc001ofd.2	1133	ENSG00000213445	SIPA1	signal-induced proliferation-associated 1
chr11	66841650	66841924	275	*	Distal Intergenic	11	66824289	66839488	15200	1	29984	uc001ojv.3	17361	ENSG00000173156	RHOD	ras homolog family member D
chr11	66993400	66993499	100	*	Intron (uc001ojw.3/22992, intron 10 of 20)	11	67007506	67025550	18045	1	22992	uc010rpn.3	-14007	ENSG00000173120	KDM2A	lysine demethylase 2A
chr11	70279325	70279574	250	*	Exon (uc001opu.3/2017, exon 15 of 19)	11	70268351	70282690	14340	1	2017	uc001opx.3	10974	ENSG00000085733	CTTN	cortactin
chr11	73644525	73644749	225	*	Distal Intergenic	11	73661364	73681332	19969	1	374407	uc001ouo.3	-16615	ENSG00000187726	DNAJB13	DnaJ heat shock protein family (Hsp40) member B13
chr11	74965975	74966149	175	*	Distal Intergenic	11	74951950	74954749	2800	1	100507050	uc021qnk.1	14025	ENSG00000261594	TPBGL	trophoblast glycoprotein like
chr11	77803050	77803174	125	*	Distal Intergenic	11	77779393	77791265	11873	2	4718	uc021qnw.1	-11785	ENSG00000151366	NDUFC2	NADH:ubiquinone oxidoreductase subunit C2
chr11	77805625	77805774	150	*	Distal Intergenic	11	77779393	77791265	11873	2	4718	uc021qnw.1	-14360	ENSG00000151366	NDUFC2	NADH:ubiquinone oxidoreductase subunit C2
chr11	77809125	77809299	175	*	Downstream (2-3kb)	11	77779393	77791265	11873	2	4718	uc021qnw.1	-17860	ENSG00000151366	NDUFC2	NADH:ubiquinone oxidoreductase subunit C2
chr11	78849825	78850049	225	*	Intron (uc001ozl.4/26011, intron 4 of 33)	11	78600830	78781054	180225	2	26011	uc021qnz.1	-68771	ENSG00000149256	TENM4	teneurin transmembrane protein 4
chr11	84288575	84288649	75	*	Intron (uc001paj.2/1740, intron 1 of 22)	11	83497484	84028382	530899	2	1740	uc001pam.2	-260193	ENSG00000150672	DLG2	discs large MAGUK scaffold protein 2
chr11	102156525	102156649	125	*	Distal Intergenic	11	102188181	102210135	21955	1	330	uc001pgx.3	-31532	ENSG00000023445	BIRC3	baculoviral IAP repeat containing 3
chr11	113716250	113716449	200	*	Intron (uc001poh.3/57646, intron 3 of 24)	11	113668597	113700189	31593	2	57646	uc001pog.3	-16061	ENSG00000048028	USP28	ubiquitin specific peptidase 28
chr11	118909800	118910174	375	*	Distal Intergenic	11	118895061	118901616	6556	2	2542	uc010ryt.1	-8184	ENSG00000137700	SLC37A4	solute carrier family 37 member 4
chr11	121477650	121477824	175	*	Exon (uc001pxx.3/6653, exon 36 of 48)	11	121461128	121504471	43344	1	6653	uc010rzq.1	16522	ENSG00000137642	SORL1	sortilin related receptor 1
chr11	121484250	121484399	150	*	Intron (uc001pxx.3/6653, intron 40 of 47)	11	121461128	121504471	43344	1	6653	uc010rzq.1	23122	ENSG00000137642	SORL1	sortilin related receptor 1
chr11	124720900	124721149	250	*	Distal Intergenic	11	124735305	124751370	16066	1	64221	uc001qbc.3	-14156	ENSG00000154134	ROBO3	roundabout guidance receptor 3
chr11	124723900	124724124	225	*	Distal Intergenic	11	124735305	124751370	16066	1	64221	uc001qbc.3	-11181	ENSG00000154134	ROBO3	roundabout guidance receptor 3
chr11	128005550	128005749	200	*	Distal Intergenic	11	128328656	128392205	63550	2	2113	uc009zcg.2	386456	ENSG00000134954	ETS1	ETS proto-oncogene 1, transcription factor
chr11	128007350	128007474	125	*	Distal Intergenic	11	128328656	128392205	63550	2	2113	uc009zcg.2	384731	ENSG00000134954	ETS1	ETS proto-oncogene 1, transcription factor
chr12	199325	199649	325	*	Intron (uc001qhw.2/440073, intron 1 of 13)	12	186542	280494	93953	1	440073	uc001qhu.1	12783	ENSG00000120645	IQSEC3	IQ motif and Sec7 domain ArfGEF 3
chr12	6403025	6403249	225	*	Distal Intergenic	12	6419602	6437672	18071	1	55200	uc001qnr.3	-16353	ENSG00000008323	PLEKHG6	pleckstrin homology and RhoGEF domain containing G6
chr12	7038050	7038299	250	*	Promoter	12	7037480	7053815	16336	1	1822	uc001qrx.1	570	ENSG00000111676	ATN1	atrophin 1
chr12	9752125	9752299	175	*	Intron (uc010sgt.2/3820, intron 3 of 5)	12	9747870	9760497	12628	2	3820	uc010sgt.2	8198	ENSG00000111796	KLRB1	killer cell lectin like receptor B1
chr12	46366775	46366974	200	*	Intron (uc001rox.3/9169, intron 1 of 14)	12	46312914	46384401	71488	2	9169	uc001rox.3	17427	ENSG00000139218	SCAF11	SR-related CTD associated factor 11
chr12	46395450	46395624	175	*	Distal Intergenic	12	46319925	46385903	65979	2	9169	uc001roy.1	-9547	ENSG00000139218	SCAF11	SR-related CTD associated factor 11
chr12	46397625	46397874	250	*	Distal Intergenic	12	46319925	46385903	65979	2	9169	uc001roy.1	-11722	ENSG00000139218	SCAF11	SR-related CTD associated factor 11
chr12	50832150	50832424	275	*	Promoter	12	50831518	50873788	42271	1	113251	uc009zlr.1	632	ENSG00000161813	LARP4	La ribonucleoprotein 4
chr12	50836875	50837099	225	*	Intron (uc001rwm.3/113251, intron 8 of 10)	12	50831518	50873788	42271	1	113251	uc009zlr.1	5357	ENSG00000161813	LARP4	La ribonucleoprotein 4
chr12	50844025	50844274	250	*	Intron (uc001rwm.3/113251, intron 8 of 10)	12	50831518	50873788	42271	1	113251	uc009zlr.1	12507	ENSG00000161813	LARP4	La ribonucleoprotein 4
chr12	53276550	53276774	225	*	Distal Intergenic	12	53290971	53298868	7898	2	3856	uc001sbd.2	22094	ENSG00000170421	KRT8	keratin 8
chr12	53283325	53283524	200	*	Distal Intergenic	12	53290971	53298868	7898	2	3856	uc001sbd.2	15344	ENSG00000170421	KRT8	keratin 8
chr12	56511500	56511699	200	*	Promoter	12	56512030	56516278	4249	1	84872	uc001sjp.1	-331	ENSG00000135482	ZC3H10	zinc finger CCCH-type containing 10
chr12	70231750	70231849	100	*	Distal Intergenic	12	70172754	70216984	44231	1	117177	uc001svt.3	58996	ENSG00000127328	RAB3IP	RAB3A interacting protein
chr12	70962875	70962999	125	*	Intron (uc001swb.4/5787, intron 12 of 31)	12	70910632	71003624	92993	2	5787	uc001swb.4	40625	ENSG00000127329	PTPRB	protein tyrosine phosphatase receptor type B
chr12	79755350	79755549	200	*	Intron (uc001sys.3/6857, intron 10 of 11)	12	79813037	79813101	65	1	100302136	uc021ray.1	-57488	ENSG00000221788	MIR1252	microRNA 1252
chr12	80715150	80715249	100	*	Intron (uc001szd.3/283310, intron 33 of 57)	12	80750134	80772870	22737	1	283310	uc021rba.1	-34885	ENSG00000165899	OTOGL	otogelin like
chr12	84073875	84073899	25	*	Distal Intergenic	12	83080934	83528067	447134	1	160335	uc010suk.2	992941	ENSG00000179104	TMTC2	transmembrane O-mannosyltransferase targeting cadherins 2
chr12	85832725	85832874	150	*	Distal Intergenic	12	85674036	85695561	21526	1	8092	uc001tae.4	158689	ENSG00000180318	ALX1	ALX homeobox 1
chr12	91326100	91326249	150	*	Intron (uc021rbs.1/439916, intron 1 of 4)	12	91311800	91342446	30647	1	439916	uc021rbs.1	14300	ENSG00000196243	LINC00615	long intergenic non-protein coding RNA 615
chr12	95407275	95407549	275	*	Distal Intergenic	12	95365104	95397489	32386	2	55967	uc031qje.1	-9786	ENSG00000184752	NDUFA12	NADH:ubiquinone oxidoreductase subunit A12
chr12	106594275	106594449	175	*	Distal Intergenic	12	106631659	106641713	10055	2	10970	uc001tlk.3	47264	ENSG00000136026	CKAP4	cytoskeleton associated protein 4
chr12	107481500	107481699	200	*	Intron (uc001tmi.4/1407, intron 1 of 12)	12	107385143	107487635	102493	2	1407	uc001tmi.4	5936	ENSG00000008405	CRY1	cryptochrome circadian regulator 1
chr12	107488775	107488899	125	*	Distal Intergenic	12	107385143	107487635	102493	2	1407	uc001tmi.4	-1140	ENSG00000008405	CRY1	cryptochrome circadian regulator 1
chr12	110319150	110319449	300	*	Promoter	12	110288748	110318293	29546	2	51228	uc031qjo.1	-857	ENSG00000139433	GLTP	glycolipid transfer protein
chr12	110325175	110325249	75	*	Distal Intergenic	12	110288748	110318293	29546	2	51228	uc031qjo.1	-6882	ENSG00000139433	GLTP	glycolipid transfer protein
chr12	110327600	110327774	175	*	Distal Intergenic	12	110288748	110318293	29546	2	51228	uc031qjo.1	-9307	ENSG00000139433	GLTP	glycolipid transfer protein
chr12	112119200	112119424	225	*	Promoter	12	112079950	112119639	39690	2	8315	uc010syh.2	215	ENSG00000089234	BRAP	BRCA1 associated protein
chr12	113590425	113590474	50	*	Intron (uc010sys.2/387885, intron 2 of 7)	12	113587663	113597081	9419	1	387885	uc010sys.2	2762	ENSG00000186710	CFAP73	cilia and flagella associated protein 73
chr12	121688400	121688599	200	*	Intron (uc001tzz.2/10645, intron 5 of 10)	12	121675495	121698345	22851	2	10645	uc001tzz.2	9746	ENSG00000110931	CAMKK2	calcium/calmodulin dependent protein kinase kinase 2
chr12	122126200	122126274	75	*	Distal Intergenic	12	122089293	122110537	21245	2	283385	uc001uay.3	-15663	ENSG00000139714	MORN3	MORN repeat containing 3
chr13	19432300	19432574	275	*	Exon (uc010tcj.1/284232, exon 1 of 1)	13	19408543	19446109	37567	2	284232	uc010tcj.1	13535	NA	ANKRD20A9P	ankyrin repeat domain 20 family member A9, pseudogene
chr13	23361525	23361799	275	*	Distal Intergenic	13	23471169	23472320	1152	2	646201	uc021rhf.1	110521	NA	BASP1P1	BASP1 pseudogene 1
chr13	25954800	25955024	225	*	Intron (uc001uqk.3/51761, intron 1 of 36)	13	25946209	26595420	649212	1	51761	uc001uqk.3	8591	ENSG00000132932	ATP8A2	ATPase phospholipid transporting 8A2
chr13	25968800	25968999	200	*	Intron (uc001uqk.3/51761, intron 1 of 36)	13	25946209	26595420	649212	1	51761	uc001uqk.3	22591	ENSG00000132932	ATP8A2	ATPase phospholipid transporting 8A2
chr13	43522700	43522874	175	*	Intron (uc001uyw.2/94240, intron 6 of 12)	13	43460524	43566407	105884	2	94240	uc001uyw.2	43533	ENSG00000133106	EPSTI1	epithelial stromal interaction 1
chr13	50597950	50598149	200	*	Intron (uc001vdn.1/8847, intron 7 of 10)	13	50589390	50595058	5669	1	283518	uc001vdu.3	8560	ENSG00000198553	KCNRG	potassium channel regulator
chr13	77593725	77593899	175	*	Intron (uc001vkd.3/26224, intron 2 of 4)	13	77579389	77601331	21943	2	26224	uc001vkd.3	7432	ENSG00000005812	FBXL3	F-box and leucine rich repeat protein 3
