seqnames	start	end	width	strand	V4	V5	V6	V7	V8	V9	V10	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	geneId	transcriptId	distanceToTSS	ENSEMBL	SYMBOL	GENENAME
chr9	99007156	99007385	230	*	.	580	.	9.26967	-1	2.35523	115	Intron (uc004awa.1/3293, intron 8 of 10)	9	98997589	99064434	66846	2	3293	uc004awa.1	57049	ENSG00000130948	HSD17B3	hydroxysteroid 17-beta dehydrogenase 3
chr2	95636222	95636451	230	*	.	592	.	9.42389	-1	2.41577	115	Distal Intergenic	2	95534430	95613087	78658	2	442028	uc002stv.1	-23135	ENSG00000259848	LOC442028	uncharacterized LOC442028
chr8	135470022	135470251	230	*	.	551	.	9.49659	-1	2.44472	115	Distal Intergenic	8	135490031	135577914	87884	2	57623	uc011ljj.2	107663	ENSG00000066827	ZFAT	zinc finger and AT-hook domain containing
chr15	92962292	92962521	230	*	.	741	.	9.51358	-1	2.44774	115	Intron (uc002bra.3/8128, intron 1 of 5)	15	92937140	93011958	74819	1	8128	uc002brb.3	25152	ENSG00000140557	ST8SIA2	ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 2
chr11	118889022	118889251	230	*	.	641	.	10.16102	-1	2.77241	115	Promoter	11	118889241	118891459	2219	1	51399	uc010ryn.2	0	ENSG00000196655	TRAPPC4	trafficking protein particle complex 4
chr22	41076038	41076267	230	*	.	555	.	10.33186	-1	2.84439	115	Promoter	22	41075277	41078818	3542	1	2847	uc003aza.3	761	ENSG00000128285	MCHR1	melanin concentrating hormone receptor 1
chr4	184718703	184718932	230	*	.	550	.	10.39345	-1	2.86512	115	Distal Intergenic	4	184826509	184938875	112367	1	56977	uc003ivz.1	-107577	ENSG00000173320	STOX2	storkhead box 2
chr2	133434564	133434793	230	*	.	561	.	10.42554	-1	2.87806	115	Intron (uc002ttp.3/344148, intron 19 of 19)	2	133402337	133429070	26734	2	116372	uc002tto.3	-5494	ENSG00000150551	LYPD1	LY6/PLAUR domain containing 1
chr17	8878714	8878943	230	*	.	564	.	10.50122	-1	2.88515	115	Distal Intergenic	17	8782233	8869029	86797	2	23533	uc021tqc.1	-9685	ENSG00000141506	PIK3R5	phosphoinositide-3-kinase regulatory subunit 5
chr3	155070762	155070991	230	*	.	542	.	10.57858	-1	2.89899	115	Distal Intergenic	3	155008021	155011489	3469	2	100507537	uc003fah.2	-59273	ENSG00000240045	STRIT1	small transmembrane regulator of ion transport 1
chr19	13351528	13351757	230	*	.	560	.	10.64518	-1	2.91886	115	Intron (uc002mwv.3/773, intron 4 of 18)	19	13317256	13368365	51110	2	773	uc002mwv.3	16608	ENSG00000141837	CACNA1A	calcium voltage-gated channel subunit alpha1 A
chr18	76395584	76395813	230	*	.	551	.	10.70059	-1	2.93948	115	Distal Intergenic	18	76740275	76758969	18695	1	27164	uc002lmt.3	-344462	ENSG00000256463	SALL3	spalt like transcription factor 3
chr6	4244624	4244853	230	*	.	581	.	10.76005	-1	2.98537	115	Distal Intergenic	6	4115927	4135831	19905	2	10455	uc003mwf.3	-108793	ENSG00000198721	ECI2	enoyl-CoA delta isomerase 2
chr3	125833904	125834133	230	*	.	545	.	10.76322	-1	2.98533	115	Promoter	3	125823952	125834345	10394	2	10840	uc003ein.1	212	ENSG00000144908	ALDH1L1	aldehyde dehydrogenase 1 family member L1
chr19	4007221	4007450	230	*	.	550	.	10.77156	-1	2.98512	115	Promoter	19	4007749	4038067	30319	1	51588	uc002lzg.3	-299	ENSG00000105229	PIAS4	protein inhibitor of activated STAT 4
chr12	9471874	9472103	230	*	.	601	.	10.77707	-1	2.99124	115	Distal Intergenic	12	9453690	9464427	10738	1	642846	uc001qvp.2	18184	NA	LOC642846	DEAD/H (Asp-Glu-Ala-Asp/His) box polypeptide 11-like
chr22	46964194	46964423	230	*	.	692	.	10.78477	-1	3.00388	115	Distal Intergenic	22	46756731	46933067	176337	2	9620	uc003bhw.1	-31127	ENSG00000075275	CELSR1	cadherin EGF LAG seven-pass G-type receptor 1
chr15	45405558	45405787	230	*	.	538	.	10.83416	-1	3.02285	115	Promoter	15	45384852	45406359	21508	2	50506	uc001zun.3	572	ENSG00000140279	DUOX2	dual oxidase 2
chr2	137678609	137678838	230	*	.	599	.	11.01739	-1	3.11006	115	Intron (uc010zbj.1/80731, intron 3 of 8)	2	137748462	138435287	686826	1	80731	uc002tva.1	-69624	ENSG00000144229	THSD7B	thrombospondin type 1 domain containing 7B
chr1	181645485	181645714	230	*	.	575	.	11.07419	-1	3.15341	115	Intron (uc001gow.3/777, intron 7 of 46)	1	181701520	181746052	44533	1	777	uc001gox.1	-55806	ENSG00000198216	CACNA1E	calcium voltage-gated channel subunit alpha1 E
chr7	12678589	12678818	230	*	.	545	.	11.07964	-1	3.15332	115	Intron (uc003ssn.4/85477, intron 10 of 15)	7	12726452	12730558	4107	1	10124	uc003ssp.3	-47634	ENSG00000122644	ARL4A	ADP ribosylation factor like GTPase 4A
chr2	26399006	26399235	230	*	.	539	.	11.11728	-1	3.16196	115	Exon (uc002rgw.2/150946, exon 2 of 6)	2	26395960	26412532	16573	1	150946	uc002rgw.2	3046	ENSG00000157833	GAREM2	GRB2 associated regulator of MAPK1 subtype 2
chr6	117086697	117086926	230	*	.	543	.	11.22365	-1	3.22164	115	Promoter	6	117073360	117086886	13527	2	221303	uc003pxi.2	0	ENSG00000183807	FAM162B	family with sequence similarity 162 member B
chr16	2031467	2031696	230	*	.	667	.	11.27864	-1	3.2544	115	Promoter	16	2028918	2031550	2633	2	124056	uc002cnx.4	0	ENSG00000196408	NOXO1	NADPH oxidase organizer 1
chr2	159314058	159314287	230	*	.	747	.	11.29048	-1	3.26625	115	Promoter	2	159313967	159519600	205634	1	8502	uc002tzy.1	91	ENSG00000144283	PKP4	plakophilin 4
chr6	117086228	117086457	230	*	.	555	.	11.32703	-1	3.27764	115	Promoter	6	117073360	117086886	13527	2	221303	uc003pxi.2	429	ENSG00000183807	FAM162B	family with sequence similarity 162 member B
chr1	206807144	206807373	230	*	.	688	.	11.38504	-1	3.30193	115	Distal Intergenic	1	206808881	206822542	13662	1	8444	uc001hei.3	-1508	ENSG00000143479	DYRK3	dual specificity tyrosine phosphorylation regulated kinase 3
chr3	44519795	44520024	230	*	.	601	.	11.51382	-1	3.38727	115	Promoter	3	44481262	44519162	37901	2	353274	uc003cnf.2	-633	ENSG00000185219	ZNF445	zinc finger protein 445
chr8	28483740	28483969	230	*	.	636	.	11.54241	-1	3.38684	115	Distal Intergenic	8	28558990	28611207	52218	1	2137	uc003xgz.2	-75021	ENSG00000012232	EXTL3	exostosin like glycosyltransferase 3
chr5	139606719	139606948	230	*	.	677	.	11.55783	-1	3.38667	115	Intron (uc003lfd.3/84418, intron 2 of 2)	5	139554653	139663119	108467	1	84418	uc010jfi.3	52066	ENSG00000120306	CYSTM1	cysteine rich transmembrane module containing 1
chr1	1560551	1560780	230	*	.	562	.	11.58168	-1	3.42037	115	Promoter	1	1560371	1565990	5620	1	142678	uc001agn.3	180	ENSG00000197530	MIB2	mindbomb E3 ubiquitin protein ligase 2
chr2	95630040	95630269	230	*	.	660	.	11.74621	-1	3.45503	115	Distal Intergenic	2	95534430	95613087	78658	2	442028	uc002stv.1	-16953	ENSG00000259848	LOC442028	uncharacterized LOC442028
chr20	61436826	61437055	230	*	.	599	.	11.89717	-1	3.45221	115	Promoter	20	61431979	61436939	4961	2	101409261	uc031rum.1	0	ENSG00000229873	OGFR-AS1	OGFR antisense RNA 1
chr22	31008842	31009071	230	*	.	613	.	11.89815	-1	3.45219	115	Exon (uc003aip.2/6948, exon 3 of 9)	22	31003070	31023047	19978	1	6948	uc003air.2	5772	ENSG00000185339	TCN2	transcobalamin 2
chr7	72993062	72993291	230	*	.	614	.	11.95369	-1	3.45122	115	Promoter	7	72983277	72993013	9737	2	26608	uc011key.2	-49	ENSG00000106638	TBL2	transducin beta like 2
chr8	101845007	101845236	230	*	.	585	.	12.03184	-1	3.44971	115	Distal Intergenic	8	101715144	101734315	19172	2	26986	uc011lhd.1	-110692	ENSG00000070756	PABPC1	poly(A) binding protein cytoplasmic 1
chr1	55313826	55314055	230	*	.	575	.	12.05863	-1	3.46902	115	Downstream (1-2kb)	1	55315300	55331353	16054	2	1718	uc010ooi.1	17298	ENSG00000116133	DHCR24	24-dehydrocholesterol reductase
chr13	78353684	78353913	230	*	.	577	.	12.07518	-1	3.46869	115	Distal Intergenic	13	78317151	78338377	21227	1	122060	uc001vkm.2	36533	ENSG00000139737	SLAIN1	SLAIN motif family member 1
chr18	45551597	45551826	230	*	.	546	.	12.0957	-1	3.46821	115	Downstream (1-2kb)	18	45371283	45457517	86235	2	4087	uc010xdd.2	-94080	ENSG00000175387	SMAD2	SMAD family member 2
chr6	3751596	3751825	230	*	.	598	.	12.16351	-1	3.48753	115	Promoter	6	3722836	3752246	29411	2	221749	uc003mvt.2	421	ENSG00000168994	PXDC1	PX domain containing 1
chr5	167035806	167036035	230	*	.	748	.	12.17163	-1	3.48735	115	Intron (uc021yhi.1/57451, intron 2 of 3)	5	167181993	167545491	363499	1	57451	uc003lzq.3	-145958	ENSG00000145934	TENM2	teneurin transmembrane protein 2
chr10	1445759	1445988	230	*	.	591	.	12.17946	-1	3.48721	115	Intron (uc009xhq.3/105, intron 1 of 9)	10	1568825	1599179	30355	1	642394	uc001ign.3	-122837	ENSG00000205696	ADARB2-AS1	ADARB2 antisense RNA 1
chr7	149321195	149321424	230	*	.	588	.	12.25781	-1	3.55456	115	Promoter	7	149244245	149321881	77637	2	79970	uc003wfx.2	457	ENSG00000133624	ZNF767P	zinc finger family member 767, pseudogene
chr15	39920357	39920586	230	*	.	679	.	12.29345	-1	3.57916	115	Intron (uc001zki.3/161835, intron 10 of 11)	15	39880801	39889668	8868	1	7057	uc010bbi.3	39556	ENSG00000137801	THBS1	thrombospondin 1
chr8	93083508	93083737	230	*	.	675	.	12.30171	-1	3.57897	115	Intron (uc003yfd.3/862, intron 3 of 12)	8	92967195	93075191	107997	2	862	uc003yfc.2	-8317	ENSG00000079102	RUNX1T1	RUNX1 partner transcriptional co-repressor 1
chr2	5833846	5834075	230	*	.	560	.	12.34901	-1	3.57809	115	Exon (uc002qyj.3/6664, exon 1 of 1)	2	5832799	5841517	8719	1	6664	uc002qyj.3	1047	ENSG00000176887	SOX11	SRY-box transcription factor 11
chr3	197282647	197282876	230	*	.	614	.	12.37951	-1	3.60449	115	Promoter	3	197236654	197282858	46205	2	622	uc003fxr.3	0	ENSG00000161267	BDH1	3-hydroxybutyrate dehydrogenase 1
chr1	240354170	240354399	230	*	.	628	.	12.40592	-1	3.60403	115	Intron (uc010pyd.2/56776, intron 4 of 17)	1	240408560	240555862	147303	1	56776	uc010pyf.1	-54161	ENSG00000155816	FMN2	formin 2
chr16	835087	835316	230	*	.	582	.	12.41653	-1	3.60372	115	3' UTR	16	834974	837971	2998	2	113000	uc002cka.3	2655	ENSG00000007376	RPUSD1	RNA pseudouridine synthase domain containing 1
chr18	68599564	68599793	230	*	.	696	.	12.5436	-1	3.60136	115	Distal Intergenic	18	67981427	67997434	16008	1	9306	uc010dqq.2	618137	ENSG00000170677	SOCS6	suppressor of cytokine signaling 6
chr4	120480282	120480511	230	*	.	612	.	12.55905	-1	3.60115	115	Intron (uc003idf.3/8654, intron 7 of 20)	4	120415550	120548442	132893	2	8654	uc003idf.3	67931	ENSG00000138735	PDE5A	phosphodiesterase 5A
chr15	27922837	27923066	230	*	.	684	.	12.59375	-1	3.60059	115	Distal Intergenic	15	28000023	28344458	344436	2	4948	uc001zbh.4	421392	ENSG00000104044	OCA2	OCA2 melanosomal transmembrane protein
chr8	64518181	64518410	230	*	.	723	.	12.60905	-1	3.60032	115	Distal Intergenic	8	64681988	64698054	16067	1	286184	uc003xvc.3	-163578	ENSG00000253734	LINC01289	long intergenic non-protein coding RNA 1289
chr8	143833289	143833518	230	*	.	667	.	12.63624	-1	3.62884	115	Promoter	8	143831628	143833952	2325	2	137797	uc003ywz.3	434	ENSG00000197353	LYPD2	LY6/PLAUR domain containing 2
chr4	37791881	37792110	230	*	.	661	.	12.67061	-1	3.65923	115	Distal Intergenic	4	37828282	37849099	20818	1	55276	uc011bya.1	-36172	ENSG00000169299	PGM2	phosphoglucomutase 2
chr13	110437729	110437958	230	*	.	693	.	12.67164	-1	3.65919	115	Promoter	13	110406184	110438914	32731	2	8660	uc001vqv.3	956	ENSG00000185950	IRS2	insulin receptor substrate 2
chr10	106128217	106128446	230	*	.	605	.	12.71053	-1	3.69201	115	Exon (uc001kyh.3/159686, exon 6 of 18)	10	106113522	106214848	101327	1	159686	uc001kyh.3	14695	ENSG00000120051	CFAP58	cilia and flagella associated protein 58
chr1	242638666	242638895	230	*	.	627	.	12.71601	-1	3.69191	115	Intron (uc001hzn.2/200150, intron 2 of 10)	1	242251689	242612784	361096	2	200150	uc001hzm.4	-25882	ENSG00000180287	PLD5	phospholipase D family member 5
chr19	39195406	39195635	230	*	.	680	.	12.77554	-1	3.76651	115	Exon (uc010egc.2/81, exon 4 of 12)	19	39220832	39226069	5238	2	147968	uc010egd.1	30434	ENSG00000182472	CAPN12	calpain 12
chr5	35954361	35954590	230	*	.	598	.	12.79138	-1	3.8097	115	Exon (uc003jjv.2/133688, exon 7 of 7)	5	35904398	35938881	34484	2	133690	uc003jju.1	-15480	ENSG00000152611	CAPSL	calcyphosine like
chr16	13604711	13604940	230	*	.	635	.	12.80108	-1	3.80952	115	Distal Intergenic	16	14014014	14027104	13091	1	2072	uc010bva.3	-409074	ENSG00000175595	ERCC4	ERCC excision repair 4, endonuclease catalytic subunit
chr7	151159027	151159256	230	*	.	588	.	12.83777	-1	3.85704	115	Distal Intergenic	7	151127056	151137899	10844	2	155051	uc003wkg.3	-21128	ENSG00000127377	CRYGN	crystallin gamma N
chr22	19480410	19480639	230	*	.	683	.	12.89395	-1	3.91016	115	Intron (uc021wlg.1/8318, intron 5 of 11)	22	19467414	19508135	40722	1	8318	uc011aha.2	12996	ENSG00000093009	CDC45	cell division cycle 45
chr4	108681779	108682008	230	*	.	604	.	12.91045	-1	3.90992	115	Distal Intergenic	4	108574647	108641419	66773	2	9061	uc011cfh.1	-40360	ENSG00000138801	PAPSS1	3'-phosphoadenosine 5'-phosphosulfate synthase 1
chr22	19115069	19115298	230	*	.	585	.	12.91737	-1	3.90979	115	Downstream (2-3kb)	22	19118321	19120136	1816	1	23617	uc002zow.2	-3023	ENSG00000206203	TSSK2	testis specific serine kinase 2
chr19	8674308	8674537	230	*	.	773	.	12.93847	-1	3.90959	115	Intron (uc002mkj.1/81794, intron 1 of 25)	19	8645126	8675588	30463	2	81794	uc002mkj.1	1051	ENSG00000142303	ADAMTS10	ADAM metallopeptidase with thrombospondin type 1 motif 10
chr2	37005038	37005267	230	*	.	597	.	13.00121	-1	3.90865	115	Intron (uc002rpl.3/5212, intron 9 of 15)	2	36923833	37041937	118105	1	5212	uc010ezw.3	81205	ENSG00000205221	VIT	vitrin
chr4	37805050	37805279	230	*	.	540	.	13.08117	-1	3.96972	115	Distal Intergenic	4	37828282	37849099	20818	1	55276	uc011bya.1	-23003	ENSG00000169299	PGM2	phosphoglucomutase 2
chr11	18561838	18562067	230	*	.	572	.	13.11823	-1	4.04157	115	Intron (uc031pzg.1/55293, intron 9 of 10)	11	18524033	18548503	24471	2	7251	uc009yhs.2	-13335	ENSG00000074319	TSG101	tumor susceptibility 101
chr8	27920531	27920760	230	*	.	669	.	13.12675	-1	4.04148	115	Intron (uc003xgm.4/389643, intron 7 of 18)	8	27879481	27941388	61908	2	389643	uc003xgm.4	20628	ENSG00000189233	NUGGC	nuclear GTPase, germinal center associated
chr13	100608138	100608367	230	*	.	769	.	13.13759	-1	4.04133	115	Distal Intergenic	13	100615275	100624178	8904	2	85416	uc001vom.1	15811	ENSG00000139800	ZIC5	Zic family member 5
chr1	196630513	196630742	230	*	.	698	.	13.19329	-1	4.0403	115	Intron (uc001gti.4/3075, intron 1 of 9)	1	196621008	196716634	95627	1	3075	uc001gtj.4	9505	ENSG00000000971	CFH	complement factor H
chr7	83605627	83605856	230	*	.	871	.	13.22712	-1	4.03961	115	Intron (uc003uhz.3/10371, intron 15 of 16)	7	83587659	83824217	236559	2	10371	uc003uhz.3	218361	ENSG00000075213	SEMA3A	semaphorin 3A
chr19	13958573	13958802	230	*	.	713	.	13.26074	-1	4.03884	115	Distal Intergenic	19	13945330	13947473	2144	2	284454	uc002mxi.4	-11100	NA	LOC284454	uncharacterized LOC284454
chr12	110486163	110486392	230	*	.	564	.	13.29034	-1	4.03818	115	Promoter	12	110478983	110486326	7344	2	400073	uc001tqb.2	0	ENSG00000174456	C12orf76	chromosome 12 open reading frame 76
chr3	114804164	114804393	230	*	.	646	.	13.29073	-1	4.03815	115	Intron (uc003ebn.3/26137, intron 1 of 9)	3	114056947	114790261	733315	2	26137	uc003ebm.3	-13903	ENSG00000181722	ZBTB20	zinc finger and BTB domain containing 20
chr19	5163792	5164021	230	*	.	666	.	13.30193	-1	4.03791	115	Intron (uc002mbu.1/5802, intron 30 of 30)	19	5070629	5153608	82980	1	23030	uc002mbr.4	93163	ENSG00000127663	KDM4B	lysine demethylase 4B
chr15	90838203	90838432	230	*	.	590	.	13.32318	-1	4.03751	115	Distal Intergenic	15	90773477	90808991	35515	2	10519	uc031qtr.1	-29212	ENSG00000185043	CIB1	calcium and integrin binding 1
chr7	150716637	150716866	230	*	.	577	.	13.35918	-1	4.03676	115	Intron (uc003wig.5/285973, intron 6 of 17)	7	150709297	150721586	12290	2	285973	uc003wig.5	4720	ENSG00000181652	ATG9B	autophagy related 9B
chr12	132314547	132314776	230	*	.	647	.	13.3615	-1	4.0367	115	Intron (uc001ujc.1/4326, intron 1 of 9)	12	132312941	132336316	23376	1	4326	uc001ujc.1	1606	ENSG00000198598	MMP17	matrix metallopeptidase 17
chr19	46323724	46323953	230	*	.	690	.	13.37732	-1	4.03647	115	3' UTR	19	46298968	46318605	19638	2	81492	uc002pdm.3	-5119	ENSG00000104941	RSPH6A	radial spoke head 6 homolog A
chr13	58203607	58203836	230	*	.	605	.	13.37947	-1	4.03641	115	Distal Intergenic	13	58205789	58303065	97277	1	27253	uc001vhq.1	-1953	ENSG00000118946	PCDH17	protocadherin 17
chr21	43715519	43715748	230	*	.	623	.	13.52525	-1	4.23048	115	Intron (uc002zam.3/9619, intron 16 of 16)	21	43705990	43715445	9456	1	9619	uc010gpb.2	9529	ENSG00000160179	ABCG1	ATP binding cassette subfamily G member 1
chr2	241760596	241760825	230	*	.	852	.	13.58367	-1	4.2294	115	Promoter	2	241662830	241759725	96896	2	547	uc002vzz.2	-871	ENSG00000130294	KIF1A	kinesin family member 1A
chr13	21512562	21512791	230	*	.	660	.	13.6931	-1	4.22779	115	Distal Intergenic	13	21417034	21476913	59880	2	64328	uc010tcr.1	-35649	ENSG00000132953	XPO4	exportin 4
chr15	48043716	48043945	230	*	.	724	.	13.70673	-1	4.22753	115	Intron (uc001zvw.3/80031, intron 4 of 19)	15	48010686	48066420	55735	1	80031	uc001zwc.3	33030	ENSG00000137872	SEMA6D	semaphorin 6D
chr10	88448548	88448777	230	*	.	569	.	13.82558	-1	4.22566	115	Intron (uc010qml.1/11155, intron 5 of 8)	10	88428426	88495824	67399	1	11155	uc009xsz.3	20122	ENSG00000122367	LDB3	LIM domain binding 3
chr5	73197361	73197590	230	*	.	587	.	13.84947	-1	4.22521	115	Intron (uc010izf.3/64283, intron 31 of 36)	5	73181675	73237818	56144	1	64283	uc003kda.4	15686	ENSG00000214944	ARHGEF28	Rho guanine nucleotide exchange factor 28
chr16	67282845	67283074	230	*	.	871	.	13.86372	-1	4.225	115	Promoter	16	67282855	67306094	23240	1	6553	uc002esm.3	0	ENSG00000135740	SLC9A5	solute carrier family 9 member A5
chr18	45568908	45569137	230	*	.	701	.	13.92314	-1	4.22397	115	Intron (uc002ldb.3/201501, intron 1 of 2)	18	45553639	45663680	110042	2	201501	uc002ldb.3	94543	ENSG00000184828	ZBTB7C	zinc finger and BTB domain containing 7C
chr7	75795985	75796214	230	*	.	777	.	13.96263	-1	4.22358	115	Distal Intergenic	7	75831216	75916605	85390	1	222183	uc010ldi.2	-35002	ENSG00000177679	SRRM3	serine/arginine repetitive matrix 3
chr4	117282401	117282630	230	*	.	642	.	13.96833	-1	4.22351	115	Distal Intergenic	4	117220881	117220924	44	1	100302290	uc021xqy.1	61520	ENSG00000284253	MIR1973	microRNA 1973
chr2	71357016	71357245	230	*	.	637	.	14.01299	-1	4.22301	115	Promoter	2	71336806	71357394	20589	2	84693	uc002shs.2	149	ENSG00000124370	MCEE	methylmalonyl-CoA epimerase
chr21	47554878	47555107	230	*	.	718	.	14.01874	-1	4.22291	115	Downstream (1-2kb)	21	47556176	47562655	6480	2	10841	uc002zie.3	7548	ENSG00000160282	FTCD	formimidoyltransferase cyclodeaminase
chr1	46838205	46838434	230	*	.	707	.	14.12812	-1	4.36758	115	Distal Intergenic	1	46859939	46879520	19582	1	2166	uc001cpu.2	-21505	ENSG00000117480	FAAH	fatty acid amide hydrolase
chr2	3482751	3482980	230	*	.	592	.	14.21567	-1	4.36587	115	Intron (uc002qxm.1/51112, intron 11 of 11)	2	3501690	3521518	19829	2	55256	uc010yiq.2	38538	ENSG00000182551	ADI1	acireductone dioxygenase 1
chr12	48591383	48591612	230	*	.	580	.	14.22163	-1	4.36571	115	Distal Intergenic	12	48596122	48597075	954	2	121275	uc001rrl.1	5463	ENSG00000172640	OR10AD1	olfactory receptor family 10 subfamily AD member 1
chr8	144687794	144688023	230	*	.	563	.	14.2308	-1	4.36557	115	3' UTR	8	144686083	144691784	5702	2	65263	uc003yyy.3	3761	ENSG00000104524	PYCR3	pyrroline-5-carboxylate reductase 3
chr1	150552011	150552240	230	*	.	702	.	14.30131	-1	4.36446	115	Promoter	1	150547027	150552086	5060	2	4170	uc010pch.2	0	ENSG00000143384	MCL1	MCL1 apoptosis regulator, BCL2 family member
chr1	5439351	5439580	230	*	.	712	.	14.35859	-1	4.3635	115	Distal Intergenic	1	5624131	5624203	73	1	100616489	uc021ofm.1	-184551	NA	NA	NA
chr16	57794679	57794908	230	*	.	742	.	14.37105	-1	4.36333	115	Exon (uc010vhw.2/3801, exon 14 of 18)	16	57792129	57809020	16892	2	3801	uc010vhw.2	14112	ENSG00000140859	KIFC3	kinesin family member C3
chr4	1724581	1724810	230	*	.	732	.	14.37789	-1	4.36317	115	Intron (uc010ibz.3/10460, intron 1 of 9)	4	1723217	1746905	23689	1	10460	uc003gdp.3	1364	ENSG00000013810	TACC3	transforming acidic coiled-coil containing protein 3
chr16	12995062	12995291	230	*	.	730	.	14.38539	-1	4.3631	115	Promoter	16	12995477	13005507	10031	1	729993	uc002dcd.2	-186	ENSG00000237515	SHISA9	shisa family member 9
chr22	37649317	37649546	230	*	.	626	.	14.38663	-1	4.36305	115	Distal Intergenic	22	37621310	37640305	18996	2	5880	uc003arc.3	-9012	ENSG00000128340	RAC2	Rac family small GTPase 2
chr10	6001604	6001833	230	*	.	740	.	14.40802	-1	4.36273	115	Exon (uc001iiv.3/3601, exon 5 of 7)	10	5994334	6019574	25241	2	3601	uc001iiv.3	17741	ENSG00000134470	IL15RA	interleukin 15 receptor subunit alpha
chr12	98592479	98592708	230	*	.	714	.	14.52151	-1	4.583	115	Distal Intergenic	12	98389161	98389226	66	2	100422924	uc021rch.1	-203253	ENSG00000263890	MIR4303	microRNA 4303
chr9	137968777	137969006	230	*	.	715	.	14.5318	-1	4.58292	115	Exon (uc010naq.2/10439, exon 2 of 2)	9	137967089	138013030	45942	1	10439	uc004cfl.4	1688	ENSG00000130558	OLFM1	olfactomedin 1
chr9	104355723	104355952	230	*	.	548	.	14.54856	-1	4.58267	115	3' UTR	9	104353897	104357283	3387	2	5535	uc004bbr.3	1331	ENSG00000188386	PPP3R2	protein phosphatase 3 regulatory subunit B, beta
chr5	77791033	77791262	230	*	.	601	.	14.56952	-1	4.58224	115	Intron (uc003kfo.3/10184, intron 4 of 4)	5	77753618	77776562	22945	1	9522	uc003kfn.3	37415	ENSG00000085365	SCAMP1	secretory carrier membrane protein 1
chr11	75607943	75608172	230	*	.	548	.	14.58736	-1	4.58197	115	Intron (uc001oxc.3/7405, intron 5 of 14)	11	75641904	75728024	86121	1	7405	uc009yuh.1	-33732	ENSG00000198382	UVRAG	UV radiation resistance associated
chr1	180477091	180477320	230	*	.	634	.	14.59087	-1	4.5819	115	Distal Intergenic	1	180257352	180472022	214671	2	84320	uc001gog.3	-5069	ENSG00000230124	ACBD6	acyl-CoA binding domain containing 6
chr7	135367528	135367757	230	*	.	580	.	14.62942	-1	4.58123	115	Intron (uc003vsz.4/647087, intron 1 of 2)	7	135347221	135378162	30942	1	647087	uc003vsz.4	20307	ENSG00000243317	STMP1	short transmembrane mitochondrial protein 1
chr10	119237903	119238132	230	*	.	720	.	14.63864	-1	4.58106	115	Distal Intergenic	10	119243804	119301924	58121	2	196047	uc001ldf.3	63792	ENSG00000229847	EMX2OS	EMX2 opposite strand/antisense RNA
chr1	65322340	65322569	230	*	.	741	.	14.64428	-1	4.581	115	Intron (uc001dbu.1/3716, intron 10 of 24)	1	65298906	65311323	12418	2	3716	uc009wal.1	-11017	ENSG00000162434	JAK1	Janus kinase 1
